attribution,author_profile,authors,category,chapter,class-lesson,class-order,comments,course,dateCreated,description,difficulty,estimated-time,excerpt,header1,lang-lib,layout,modified,module,module-description,module-nav-title,module-title,module-type,nav-title,odule-type,order,output,overview-order,permalink,prerequisites,redirect_from,sidebar,tags,title,topics,week,week-landing
,False,['Jenny Palomino'],courses,,,,False,earth-analytics-bootcamp,,"""notice--info"" markdown=""1"">

## <i class=""fa fa-ship"" aria-hidden=""true""></i> Homework 1

This assignment has two components:

1. Completing the <a href=""https://canvas.colorado.edu/courses/17063/quizzes/38134"" target = ""_blank"">Homework 1 Quiz on CANVAS</a>. You need to log into CANVAS to complete this quiz. 

2. Completing and submitting the `Jupyter Notebook` for Homework 1 (`ea-bootcamp-hw-1.ipynb`). You will need follow the instructions below **Part 3: Submit Your Jupyter Notebook to GitHub** to submit this component.

You need to **complete both components of this assignment (Homework 1) by Friday, August 10th at 8:00 AM (U.S. Mountain Daylight Time)**. See <a href=""https://www.timeanddate.com/worldclock/fixedtime.html?iso=20180810T08&p1=1243"" target=""_blank"">this link</a>  to convert the due date/time to your local time. Each component contributes 50% to your final grade for Homework 1. 


## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

Be sure that you have completed all of the lessons from Days 1, 2, and 3 for the Earth Analytics Bootcamp. Completing the challenges at the end of the lessons will also help you with this assignment. 

You will need the `Jupyter Notebook` for Homework 1 (`ea-bootcamp-hw-1.ipynb`), which is in your forked repository for Homework 1 (`https://github.com/yourusername/ea-bootcamp-hw-1-yourusername`).

If you have not already forked and cloned the repository for Homework 1, complete the following instructions:

1. On Day 1 of the course, you will receive an email invitation to Homework 1 via CANVAS.

2. Accept the invitation, which will create a new private repository that includes your `Github.com` username in the name of the repository: `https://github.com/earthlab-education/ea-bootcamp-hw-1-yourusername`.

3. `Fork` this repository to your `GitHub account`. Your forked repository will be available on `https://github.com/yourusername/ea-bootcamp-hw-1-yourusername`.

4. Clone your forked repository `ea-bootcamp-hw-1-yourusername` to the `earth-analytics-bootcamp` directory on your computer (hint: `cd`, `git clone`). This repository will contain the the `Jupyter Notebook` for Homework 1 (`ea-bootcamp-hw-1.ipynb`).",,,,,,single,2021-01-28,,,,,overview,Homework 1,,,,5,/courses/earth-analytics-bootcamp/earth-analytics-bootcamp-homework-1/,"Be sure that you have completed all of the lessons from Days 1, 2, and 3 for the Earth Analytics Bootcamp. Completing the challenges at the end of the lessons will also help you with this assignment. 

You will need the `Jupyter Notebook` for Homework 1 (`ea-bootcamp-hw-1.ipynb`), which is in your forked repository for Homework 1 (`https://github.com/yourusername/ea-bootcamp-hw-1-yourusername`).

If you have not already forked and cloned the repository for Homework 1, complete the following instructions:

1. On Day 1 of the course, you will receive an email invitation to Homework 1 via CANVAS.

2. Accept the invitation, which will create a new private repository that includes your `Github.com` username in the name of the repository: `https://github.com/earthlab-education/ea-bootcamp-hw-1-yourusername`.

3. `Fork` this repository to your `GitHub account`. Your forked repository will be available on `https://github.com/yourusername/ea-bootcamp-hw-1-yourusername`.

4. Clone your forked repository `ea-bootcamp-hw-1-yourusername` to the `earth-analytics-bootcamp` directory on your computer (hint: `cd`, `git clone`). This repository will contain the the `Jupyter Notebook` for Homework 1 (`ea-bootcamp-hw-1.ipynb`).",,"{""nav"": null}",,GEOG 4463 & 5463 - Earth Analytics Bootcamp: Homework 1,,,
,False,['Jenny Palomino'],courses,,,,False,earth-analytics-bootcamp,,"""notice--info"" markdown=""1"">

## <i class=""fa fa-ship"" aria-hidden=""true""></i> Homework 2

For this assignment, you will create a `Jupyter Notebook` with your answers to the questions below, and submit this `Jupyter Notebook` to a `Github` repository for Homework 2 following the instructions below **Part 3: Submit Your Jupyter Notebook to GitHub**. 

You need to **complete this assignment (Homework 2) by Tuesday, August 14th at 8:00 AM (U.S. Mountain Daylight Time)**. See <a href=""https://www.timeanddate.com/worldclock/fixedtime.html?iso=20180814T08&p1=1243"" target=""_blank"">this link</a>  to convert the due date/time to your local time.

This assignment will test your `numpy arrays` and `pandas dataframes` skills from Days 4 and 5. 

You will be asked to download and use data from Figshare.com on monthly snowfall (inches) between the years 2007 and 2017 for <a href=""https://www.esrl.noaa.gov/psd/boulder/bouldersnow.html"" target=""_blank"">Boulder, Colorado, provided by the U.S. National Oceanic and Atmospheric Administration (NOAA).</a> 



## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

Be sure that you have completed all of the lessons from Days 4 and 5 for the Earth Analytics Bootcamp. Completing the challenges at the end of the lessons will also help you with this assignment. Review the lessons as needed to answer the questions.   

You will need to **`fork` and `clone` a Github repository for Homework 2** from `https://github.com/earthlab-education/ea-bootcamp-hw-2-yourusername`. You will receive an invitation to the Github repository for Homework 2 via CANVAS. 

Note: the repository will be empty, as you will add a new `Jupyter Notebook` containing your answers to the questions below.",,,,,,single,2021-01-28,,,,,overview,Homework 2,,,,6,/courses/earth-analytics-bootcamp/earth-analytics-bootcamp-homework-2/,"Be sure that you have completed all of the lessons from Days 4 and 5 for the Earth Analytics Bootcamp. Completing the challenges at the end of the lessons will also help you with this assignment. Review the lessons as needed to answer the questions.   

You will need to **`fork` and `clone` a Github repository for Homework 2** from `https://github.com/earthlab-education/ea-bootcamp-hw-2-yourusername`. You will receive an invitation to the Github repository for Homework 2 via CANVAS. 

Note: the repository will be empty, as you will add a new `Jupyter Notebook` containing your answers to the questions below.",,"{""nav"": null}",,GEOG 4463 & 5463 - Earth Analytics Bootcamp: Homework 2,,,
,False,['Jenny Palomino'],courses,,,,False,earth-analytics-bootcamp,,"""notice--info"" markdown=""1"">

## <i class=""fa fa-ship"" aria-hidden=""true""></i> Homework 3

For this assignment, you will create a `Jupyter Notebook` with your answers to the questions below, and submit this `Jupyter Notebook` to a Github repository for Homework 3 following the instructions below **Part 3: Submit Your Jupyter Notebook to GitHub**. 

You need to **complete this assignment (Homework 3) by Friday, August 17th at 8:00 AM (U.S. Mountain Daylight Time)**. See <a href=""https://www.timeanddate.com/worldclock/fixedtime.html?iso=20180817T08&p1=1243"" target=""_blank"">this link</a> to convert the due date/time to your local time.

This assignment will test your skills with data structures, loops, and conditional statements from Days 6, 7, and 8. 

You will be asked to work with familiar data: <a href=""https://www.esrl.noaa.gov/psd/boulder/Boulder.mm.html"" target=""_blank"">temperature</a> and <a href=""https://www.esrl.noaa.gov/psd/boulder/Boulder.mm.precip.html"" target=""_blank"">precipitation</a> for various months and years of data for  Boulder, Colorado, provided by the U.S. National Oceanic and Atmospheric Administration (NOAA).


## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

Be sure that you have completed all of the lessons from Days 6, 7, and 8 for the Earth Analytics Bootcamp. Completing the challenges at the end of the lessons will also help you with this assignment. Review the lessons as needed to answer the questions.   

You will need to **`fork` and `clone` a Github repository for Homework 3** from `https://github.com/earthlab-education/ea-bootcamp-hw-3-yourusername`. You will receive an invitation to the Github repository for Homework 3 via CANVAS. 

Note: the repository will be empty, as you will add a new `Jupyter Notebook` containing your answers to the questions below.",,,,,,single,2021-01-28,,,,,overview,Homework 3,,,,9,/courses/earth-analytics-bootcamp/earth-analytics-bootcamp-homework-3/,"Be sure that you have completed all of the lessons from Days 6, 7, and 8 for the Earth Analytics Bootcamp. Completing the challenges at the end of the lessons will also help you with this assignment. Review the lessons as needed to answer the questions.   

You will need to **`fork` and `clone` a Github repository for Homework 3** from `https://github.com/earthlab-education/ea-bootcamp-hw-3-yourusername`. You will receive an invitation to the Github repository for Homework 3 via CANVAS. 

Note: the repository will be empty, as you will add a new `Jupyter Notebook` containing your answers to the questions below.",,"{""nav"": null}",,GEOG 4463 & 5463 - Earth Analytics Bootcamp: Homework 3,,,
,False,['Jenny Palomino'],courses,,,,False,earth-analytics-bootcamp,,"""notice--info"" markdown=""1"">

## <i class=""fa fa-ship"" aria-hidden=""true""></i> Homework 4

For this assignment, you will create a `Jupyter Notebook` with your answers to the questions below, and submit this `Jupyter Notebook` to a `Github` repository for Homework 4 following the instructions below **Part II: Submit Your Jupyter Notebook to GitHub**. 

You need to **complete this assignment (Homework 4) by Tuesday, August 21st at 8:00 AM (U.S. Mountain Daylight Time)**. See <a href=""https://www.timeanddate.com/worldclock/fixedtime.html?iso=20180821T08&p1=1243"" target=""_blank"">this link</a> to convert the due date/time to your local time.

This assignment will primarily test your skills to notify others of pull requests on `Github.com`  from Day 9 and to write functions from Day 10. Your skills will loops from Day 7 and conditional statements from Day 8 will also be reviewed.

You will be asked to work with familiar data: <a href=""https://www.esrl.noaa.gov/psd/boulder/Boulder.mm.html"" target=""_blank"">temperature</a> and <a href=""https://www.esrl.noaa.gov/psd/boulder/Boulder.mm.precip.html"" target=""_blank"">precipitation</a> for various months and years of data for  Boulder, Colorado, provided by the U.S. National Oceanic and Atmospheric Administration (NOAA).


## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

Be sure that you have completed all of the lessons from Days 7 to 10 for the Earth Analytics Bootcamp. Completing the challenges at the end of the lessons will also help you with this assignment. Review the lessons as needed to answer the questions.   

You will need to **`fork` and `clone` a Github repository for Homework 4** from `https://github.com/earthlab-education/ea-bootcamp-hw-4-yourusername`. You will receive an invitation to the Github repository for Homework 4 via CANVAS. 

Note: the repository will be empty, as you will add a new `Jupyter Notebook` containing your answers to the questions below.",,,,,,single,2021-01-28,,,,,overview,Homework 4,,,,10,/courses/earth-analytics-bootcamp/earth-analytics-bootcamp-homework-4/,"Be sure that you have completed all of the lessons from Days 7 to 10 for the Earth Analytics Bootcamp. Completing the challenges at the end of the lessons will also help you with this assignment. Review the lessons as needed to answer the questions.   

You will need to **`fork` and `clone` a Github repository for Homework 4** from `https://github.com/earthlab-education/ea-bootcamp-hw-4-yourusername`. You will receive an invitation to the Github repository for Homework 4 via CANVAS. 

Note: the repository will be empty, as you will add a new `Jupyter Notebook` containing your answers to the questions below.",,"{""nav"": null}",,GEOG 4463 & 5463 - Earth Analytics Bootcamp: Homework 4,,,
,False,"['Naupaka Zimmerman', 'Leah Wasser']",['courses'],,,,False,,2016-06-25,"'notice--success' markdown=""1"">

## Background Materials

Students should review the following presentation PRIOR to participating in the
activity.

* <a href=""{{ site.baseurl }}/slide-shows/1_intro-reprod-science/"" target=""_blank"">Introduction to Reproducible Science Slide Show </a>

* <a href=""{{ site.baseurl }}/slide-shows/2-file-naming-jenny-bryan/"" target=""_blank"">File Naming 101</a>


[Download Lesson Data](https://ndownloader.figshare.com/files/6433086
){: .btn .btn--large}",,,Instructor notes for the open science lesson.,,,single,2020-04-02,intro-open-science,,,,,Instructor Notes,,2,,,/workshops/open-science-instructor-notes/,none,,"{""nav"": null}",,Open Science Lesson Instructor Notes,,,
,False,"['Naupaka Zimmerman', 'Leah Wasser', 'Reproducible Science Curriculum Community']",['courses'],,,,False,,2016-10-25,"'notice--success' markdown=""1"">

# Learning Outcomes

* Understand the four facets of reproducibility.
  1. Organization
  2. Documentation
  3. Automation
  4. Dissemination
* Be able to apply the four facets of reproducibility to improve and create more
efficient and productive scientific workflows

****

**Estimated Time:** 1-2 hours

[Download Lesson Data](https://ndownloader.figshare.com/files/6463767
){: .btn .btn--large}",beginner,3+ hours,"A hands-on activity where students review a project for readability, organization, etc and identify key elements that would make it more usable and readily reproducible.",,,single,2020-04-02,intro-open-science,"A hands-on activity where students review a project for readability, organization, etc and identify key elements that would make it more usable and readily reproducible.",,Introduction to Open Science Teaching Activity,workshop,Lesson Overview,,1,,,/workshops/intro-open-science/,none,,"{""nav"": null}",,Introduction to Open Reproducible Science Teaching Activity,,,
These materials were adapted from Software Carpentry materials by Earth Lab.,False,"['Leah Wasser', 'Data Carpentry', 'Software Carpentry', 'Reproducible Science Curriculum Community']",['courses'],,['setup-r-rstudio'],2,True,earth-analytics,2016-12-12,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives
At the end of this activity, you will:

* Be able to download and install `R` and `Rstudio` on your laptop.",intermediate,1 hour,Learn how to download and install R and RStudio on your computer.,,,single,2020-03-30,,This module walks you through getting R and RStudio set up on your laptop. It also introduces file organization strategies.,Set up R,"Set up R, RStudio and your working directory",class,Set up RStudio,,1,,,/courses/earth-analytics/document-your-science/setup-r-rstudio/,none,,"{""nav"": null}",,Install & Set Up R and RStudio on Your Computer,"{""reproducible-science-and-programming"": [""RStudio""]}",1,
These materials were adapted from Software Carpentry materials by Earth Lab.,False,"['Leah Wasser', 'Data Carpentry', 'Software Carpentry']",['courses'],,['setup-r-rstudio'],,True,earth-analytics,2016-12-12,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives
At the end of this activity, you will:

* Be able to describe the main use for each of the four main panes in the `RStudio` interface",,,Learn how to work with R using the RStudio application.,,,single,2019-09-03,,,,,,RStudio Intro,,2,,,/courses/earth-analytics/document-your-science/intro-to-r-and-rstudio/,none,,"{""nav"": null}",,Get to Know RStudio,"{""reproducible-science-and-programming"": [""RStudio""]}",1,
These materials were adapted from Software Carpentry materials by Earth Lab.,False,"['Leah Wasser', 'Data Carpentry', 'Software Carpentry']",['courses'],,['setup-r-rstudio'],,True,earth-analytics,2016-12-12,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives
At the end of this activity, you will:

* Know how to install an `R` package using `R Studio`.
* Be able to explain what a package is in `R`.",,,Learn what a package is in R and how to install packages to work with your data.,,,single,2019-09-03,,,,,,Install packages,,3,,,/courses/earth-analytics/document-your-science/install-r-packages/,none,,"{""nav"": null}",,Install & Use Packages in R,"{""reproducible-science-and-programming"": [""RStudio""]}",1,
,False,"['Leah Wasser', 'Reproducible Science Curriculum Community']",['courses'],,['setup-r-rstudio'],,True,earth-analytics,2016-12-12,"'notice--success' markdown=""1"">

## <i class=""fa fa-graduation-cap"" aria-hidden=""true""></i> Learning Objectives
At the end of this activity, you will:

* Be able to describe the key characteristics of a well structured project.
* Be able to summarize in 1-3 sentences why good project structure can make your work more efficient and make it easier to collaborate with colleagues.
* Be able to explain what a working directory is.


## <i class=""fa fa-check-square-o fa-2"" aria-hidden=""true""></i> What You Need

You will need the most current version of `R` and, preferably, `RStudio` loaded on
your computer to complete this tutorial.

* [How to Setup R / RStudio](/courses/earth-analytics/document-your-science/setup-r-rstudio/)",,,Learn key principles for naming and organizing files and folders in a working directory.,,,single,2019-09-03,,,,,,File Organization Tips,,4,,,courses/earth-analytics/document-your-science/file-organization-101/,"You will need the most current version of `R` and, preferably, `RStudio` loaded on
your computer to complete this tutorial.

* [How to Setup R / RStudio](/courses/earth-analytics/document-your-science/setup-r-rstudio/)",,"{""nav"": null}",,File Organization 101,"{""reproducible-science-and-programming"": [""RStudio"", ""data-management""]}",1,
