course_number_title,course_description
"12.00 Frontiers and Careers in Earth, Planets, Climate, and Life","Provides a broad overview of topics, technologies, and career paths at the forefront of Earth, Atmospheric and Planetary Sciences. Introduces the complex interplay between physics, mathematics, chemistry, biology, and computational methods used to study processes associated with a changing Earth and climate, distant planets, and life. Sessions guided by faculty members discussing current research problems, and by EAPS alumni describing how their careers have evolved. Subject can count toward the 6-unit discovery-focused credit limit for first year students."
12.000 Solving Complex Problems,"Provides an opportunity for entering freshmen to gain firsthand experience in integrating the work of small teams to develop effective solutions to complex problems in Earth system science and engineering. Each year's class explores a different problem in detail through the study of complementary case histories and the development of creative solution strategies. Includes exercises in website development, written and oral communication, and team building. Subject required for students in the Terrascope freshman program, but participation in Terrascope is not required of all12.000students. Students who pass12.000are eligible to participate in the Terrascope field trip the following spring. Limited to freshmen."
12.001 Introduction to Geology,"Major minerals and rock types, rock-forming processes, and time scales. Temperatures, pressures, compositions, structure of the Earth, and measurement techniques. Geologic structures and relationships observable in the field. Sediment movement and landform development by moving water, wind, and ice. Crustal processes and planetary evolution in terms of global plate tectonics with an emphasis on ductile and brittle processes. Includes laboratory exercises on minerals, rocks, mapping, plate tectonics, rheology, glaciers. Two one-day field trips (optional)."
12.002 Introduction to Geophysics and Planetary Science,"Study of the structure, composition, and physical processes governing the terrestrial planets, including their formation and basic orbital properties. Topics include plate tectonics, earthquakes, seismic waves, rheology, impact cratering, gravity and magnetic fields, heat flux, thermal structure, mantle convection, deep interiors, planetary magnetism, and core dynamics. Suitable for majors and non-majors seeking general background in geophysics and planetary structure."
"12.003 Introduction to Atmosphere, Ocean, and Climate Dynamics","Introduces the dynamical processes that govern the atmosphere, oceans, and climate. Topics include Earth's radiation budget, convection and clouds, the circulation of the atmosphere and ocean, and climate change. Illustrates underlying mechanisms through laboratory demonstrations with a rotating table, and through analysis of atmospheric and oceanic data."
12.004 Introduction to Biogeochemistry (New),"Introduction to the central roles of chemistry and biology on Earth that underlie modern climate, climate history, and global elemental cycles. Topics include the interactions of chemistry and biology in atmospheric, aquatic, and terrestrial systems. Fundamental principles of redox, equilibria, and acid/base reactions are explored via their links in the Earth system and with respect to climate feedbacks and ecosystem dynamics, providing perspectives for the future of our planet."
12.006[J] Nonlinear Dynamics: Chaos,"Introduction to nonlinear dynamics and chaos in dissipative systems. Forced and parametric oscillators. Phase space. Periodic, quasiperiodic, and aperiodic flows. Sensitivity to initial conditions and strange attractors. Lorenz attractor. Period doubling, intermittency, and quasiperiodicity. Scaling and universality. Analysis of experimental data: Fourier transforms, Poincare sections, fractal dimension, and Lyapunov exponents. Applications to mechanical systems, fluid dynamics, physics, geophysics, and chemistry. See12.207[J]/18.354[J]for Nonlinear Dynamics: Continuum Systems."
12.007 Geobiology: History of Life on Earth,"Surveys the interactive Earth system: biology in geologic, environmental and climate change throughout Earth's history. Introduces the concept of ""life as a geological agent"" and examines the interaction between biology and the Earth system during the roughly 4 billion years since life first appeared. Topics include the origin of the solar system and the early Earth atmosphere; the origin and evolution of life and its influence on climate up through and including the modern age and the problem of global warming; the global carbon cycle; and astrobiology."
12.009[J] Nonlinear Dynamics: The Natural Environment,"Analyzes cooperative processes that shape the natural environment, now and in the geologic past. Emphasizes the development of theoretical models that relate the physical and biological worlds, the comparison of theory to observational data, and associated mathematical methods. Topics include carbon cycle dynamics; ecosystem structure, stability and complexity; mass extinctions; biosphere-geosphere coevolution; and climate change. Employs techniques such as stability analysis; scaling; null model construction; time series and network analysis."
12.010 Computational Methods of Scientific Programming,"Introductory subject exposes students to modern programming methods and techniques used in practice by physical scientists today. Emphasis on code design, algorithm development/verification, and comparative advantages/disadvantages of different languages (including Python, Julia and C/C++) and tools (including Jupyter, machine-learning from data or models, cloud and high-performance computing workflows). Students are introduced to and work with common programming tools, types of problems, and techniques for solving a variety of data analytic and equation modeling scenarios from real research: examination visualization techniques; basic numerical analysis; methods of dissemination and verification; practices for reproducible work, version control, documentation, and sharing/publication. No prior programming experience is required."
12.011[J] Archaeological Science,See description under subject3.985[J].
"12.012 MatLab, Statistics, Regression, Signal Processing","Introduces the basic tools needed for data analysis and interpretation in the Geosciences, as well as other sciences. Composed of four modules, targeted at introducing students to the basic concepts and applications in each module. MatLab: Principles and practice in its uses, script and function modules, basic approaches to solving problems. Statistics: Correlation, means, dispersion, precision, accuracy, distributions, central limit theorem, skewness, probability, Chi-Square, Gaussian and other common distributions used in hypothesis testing. Regression: Random and grid search methods, basic least squares and algorithms applicable to regression, inversion and parameter estimation. Signal Processing: Analog and digital signals, Z-transform, Fourier series, fast Fourier transforms, spectral analysis leakage and bias, digital filtering. Students taking the graduate version complete different assignments."
"12.021 Earth Science, Energy, and the Environment","Provides understanding of the Earth System most relevant to production of our planet's natural energy resources, including the physics, chemistry, and biology of conventional and alternative energy sources. Includes a broad overview of traditional and alternative energy sources: hydrocarbons (conventional and unconventional), nuclear, geothermal, hydroelectric, and wind and tides, along with their potentials and limitations. Develops detailed knowledge of the formation, concentration, and production of fossil and nuclear fuels, as well as the waste products associated with their consumption. An examination of conventional and alternative energy sources includes the environmental issues associated with the exploitation of these resources, both regional and global."
12.031[J] Fundamentals of Ecology,See description under subject1.018[J].
12.080 Experiential Learning in EAPS,"For Course 12 students participating in off-campus professional experiences related to their course of study. Before registering for this subject, students must have an offer from a company or organization, must identify an EAPS supervisor, and must receive prior approval from their advisor. Upon completion of the experience, student must submit a letter from the company or organization describing what the student accomplished, along with a substantive final report from the student approved by the EAPS supervisor. Consult departmental academic office."
12.086 Modeling Environmental Complexity,"Introduction to mathematical and physical models of environmental processes. Emphasis on the development of macroscopic continuum or statistical descriptions of complex microscopic dynamics. Problems of interest include: random walks and statistical geometry of landscapes; percolation theory and transport in disordered media; fractals, scaling, and universality; ecological dynamics and the structure of ecosystems, food webs, and other natural networks; kinetics of biogeochemical cycles. Appropriate for advanced undergraduates. Beginning graduate students are encouraged to register for12.586. Students taking the graduate version complete different assignments."
"12.090 Current Topics in Earth, Atmospheric, and Planetary Sciences","Laboratory or field work in earth, atmospheric, and planetary sciences. Consult with department Education Office."
"12.091 Current Topics in Earth, Atmospheric, and Planetary Sciences","Laboratory or field work in earth, atmospheric, and planetary sciences. Consult with department Education Office."
12.092 Current Topics in Geology and Geochemistry,Laboratory or field work in geology and geochemistry. Consult with department Education Office.
12.093 Current Topics in Geology and Geochemistry,Laboratory or field work in geology and geochemistry. To be arranged with department faculty. Consult with department Education Office.
12.094 Current Topics in Geophysics,Laboratory or field work in geophysics. Consult with department Education Office.
12.095 Current Topics in Geophysics,"Laboratory, data analysis, system modeling or field work in geophysics. To be arranged with department faculty. Consult with department Education Office."
12.096 Current Topics in Atmospheric Science and Oceanography,Laboratory or field work in atmospheric science and oceanography. To be arranged with department faculty. Consult with department Education Office.
12.097 Current Topics in Atmospheric Science and Oceanography,Laboratory or field work in atmospheric science and oceanography. To be arranged with department faculty. Consult with department Education Office.
12.098 Current Topics in Planetary Science,Laboratory or field work in planetary science. To be arranged with department faculty. Consult with department Education Office.
12.099 Current Topics in Planetary Science,Laboratory or field work in planetary science. To be arranged with department faculty. Consult with department Education Office.
12.C25[J] Real World Computation with Julia (New),See description under subject18.C25[J].
12.104 Geochemistry of Natural Waters,"Equips students with the fundamental skills to identify major controls on the chemistry of waters on the Earth.  Students examine key concepts, theories and practical tools (e.g., pH, Eh, alkalinity, surface charge, speciation, and carbonate equilibrium) and apply them as tools to understand and make predictions for the biogeochemical cycles of the Earth systems.  Students taking graduate version complete additional assignments."
12.108 Structure of Earth Materials,"Provides a comprehensive introduction to crystalline structure, crystal chemistry, and bonding in rock-forming minerals. Introduces the theory relating crystal structure and crystal symmetry to physical properties such as refractive index, elastic modulus, and seismic velocity. Surveys the distribution of silicate, oxide, and metallic minerals in the interiors and on the surfaces of planets, and discusses the processes that led to their formation."
12.109 Petrology,"Surveys the distribution, chemical composition, and mineral associations in rocks of the Earth's crust and upper mantle, and establishes its relation to tectonic environment. Emphasis is on the use of chemistry and physics to interpret rock forming processes. Topics include dynamics of crust and mantle melting as preserved in the chemical composition of igneous rocks and minerals, the long-term record of global climate change as preserved in the minerals of sedimentary rocks, and the time-temperature-depth record preserved in minerals of metamorphosed crustal rocks."
12.11 Nature's Sandbox: A Record of Great Moments in Earth History,Designed for students curious about Earth Systems. Covers how sediments and the sedimentary rock record preserve information about events in Earth History and ancient climates and oceans. Serves as an introduction to the subjects12.110ASedimentary Environments and12.110BSedimentology in the Field.
12.110A Sedimentary Environments,"Covers the basic concepts of sedimentation from the properties of individual grains to large-scale basin analysis. Lectures cover sediment textures and composition, fluid flow and sediment transport, and formation of sedimentary structures. Depositional models, for both modern and ancient environments are a major component and are studied in detail with an eye toward interpretation of depositional processes and reconstructing paleoenvironments from the rock record. Satisfies 6 units of Institute Laboratory credit. Students taking graduate version complete additional assignments."
12.110B Sedimentology in the Field,"Examines the fundamentals of sedimentary deposits and geological reasoning through first hand fieldwork. Students practice methods of modern geological field study off-campus during a required trip over spring break making field observations, measuring stratigraphic sections and making a sedimentological map. Relevant topics introduced are map and figure making in ArcGIS and Adobe Illustrator and sedimentary petrology. Culminates in an oral and written report built around data gathered in the field. Field sites and intervals of geologic time studied rotate annually and include Precambrian, Phanerozoic and Modern depositional environments. Satisfies 6 units of Institute Laboratory credit. May be taken multiple times for credit. Students taking graduate version complete additional assignments."
12.113 Structural Geology,"Introduces mechanics of rock deformation. Discusses recognition, interpretation, and mechanics of faults, folds, structural features of igneous and metamorphic rocks, and superposed deformations. Introduces regional structural geology and tectonics. Laboratory includes techniques of structural analysis, recognition and interpretation of structures on geologic maps, and construction of interpretive cross sections."
12.115 Field Geology,"Introduction to the methods of modern geological field study off-campus during an intensive two-week experience. Exercises include geological and geomorphological mapping on topographic and photographic base maps of a wide variety of bedrock and surficial rocks. Where feasible, geochemical and geophysical field measurements are corrrelated with geology. Location is usually in the western US. Contact department regarding travel fee and resources for funding opportunities. Meets with12.482when offered concurrently. Satisfies 9 units of Institute Laboratory credit."
